,ID,changetype,conversion,latitude,longitude,MGRS,blockstratum,substratum,refno_mapno,refno_maplow,refno_maphigh,reflow_mapno,reflow_maplow,reflow_maphigh,refhigh_mapno,refhigh_maplow,refhigh_maphigh,userslow,producerslow,usershigh,producershigh,usersall,producersall,overallhigh,overallall
58,40284_2,No change,False,6.28045915134305,101.930309193865,47NRG,treelosswet,2,28,20,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.5833333333333334
128,97785_16,No change,False,14.0320462547674,13.7197614282055,33PUR,waternew,4,19,0,23,0,0,0,0,0,0,,,0.0,,0.0,,0.4523809523809524,0.4523809523809524
240,254365_2,No change,False,28.627112946608,30.9070529591566,36RTS,cropnew,1,32,0,45,0,0,0,0,0,0,,,0.0,,0.0,,0.4155844155844156,0.4155844155844156
282,315306_4,No change,False,33.6781989048084,58.4310395378182,40SFC,gen,2,13,24,66,0,0,0,0,0,0,0.0,,0.0,,0.0,,0.3592233009708738,0.1262135922330097
285,315306_7,No change,False,33.7041559432914,58.5007416449238,40SFC,gen,4,91,16,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.8504672897196262
288,315306_10,No change,False,33.7243832533617,58.4836098512211,40SFC,gen,2,1,33,79,0,0,0,0,0,0,0.0,,0.0,,0.0,,0.3008849557522124,0.0088495575221238
316,372152_4,No change,False,39.1348970023884,115.474068794899,50SLJ,waternew,1,14,36,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.28
328,372152_16,No change,False,39.1364683879562,115.470216817025,50SLJ,waternew,1,8,42,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.16
398,490359_7,No change,False,50.0252517727298,35.7283137171403,36UXA,oldcrop_short,2,41,43,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.4880952380952381
407,490359_16,No change,False,49.971673120989,35.824451693647,36UXA,oldcrop_short,4,42,0,47,0,0,0,0,0,0,,,0.0,,0.0,,0.4719101123595505,0.4719101123595505
409,490359_18,No change,False,49.9568508839162,35.8235838557712,36UXA,oldcrop_short,4,48,40,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.5454545454545454
414,529881_3,No change,False,53.5601421478993,42.7424588395094,38ULE,oldcrop_short,3,28,0,15,0,0,0,0,0,0,,,0.0,,0.0,,0.6511627906976745,0.6511627906976745
453,557332_2,No change,False,56.4816818888803,126.713267950363,52VCH,fire,4,0,23,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.0
488,576420_18,No change,False,58.7687476157554,24.4838520369731,35VLF,treelossTF,3,6,4,76,0,0,0,0,0,0,0.0,,0.0,,0.0,,0.1162790697674418,0.0697674418604651
552,796166_10,No change,False,30.1925920817142,-98.0046572123102,14RNU,builtnewalert,2,2,0,48,0,0,0,0,0,0,,,0.0,,0.0,,0.04,0.04
570,805113_8,No change,False,32.0524378310915,-113.953666104697,12STA,gen,2,8,0,50,0,0,0,0,0,0,,,0.0,,0.0,,0.1379310344827586,0.1379310344827586
571,805113_9,No change,False,32.0636834314397,-113.98166270643,12STA,gen,2,14,0,42,0,0,0,0,0,0,,,0.0,,0.0,,0.25,0.25
589,815373_9,No change,False,34.2516795134844,-78.4758808803483,17SQT,treelosswet,3,0,2,38,0,0,0,0,0,0,0.0,,0.0,,0.0,,0.05,0.0
616,824841_5,No change,False,36.1327040883373,-89.9520957083466,16SBF,builtnewalert,2,36,3,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.9230769230769232
617,824841_6,No change,False,36.1778617402409,-90.0168169044561,16SBF,builtnewalert,3,0,3,47,0,0,0,0,0,0,0.0,,0.0,,0.0,,0.06,0.0
624,824841_13,No change,False,36.160949422108,-89.9904963914395,16SBF,builtnewalert,4,34,9,1,0,0,0,0,0,0,0.0,,0.0,,0.0,,0.9772727272727272,0.7727272727272727
760,913366_4,No change,False,51.9389805699064,-78.2382606038532,17UPT,fire,4,0,0,19,0,0,0,0,0,0,,,0.0,,0.0,,0.0,0.0
924,1150482_1,No change,False,-19.6588239264984,133.003295907673,53KKU,waternew,3,20,24,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.4545454545454545
971,1240366_13,No change,False,-35.3225359826972,173.809131099627,60HTF,builtnewalert,4,80,0,6,0,0,0,0,0,0,,,0.0,,0.0,,0.9302325581395348,0.9302325581395348
978,1240366_20,No change,False,-35.352766894897,173.82774215347,60HTF,builtnewalert,2,66,32,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.673469387755102
983,1344822_5,No change,False,-2.08030109031168,-79.7146561048331,17MPT,waternew,1,52,6,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.896551724137931
984,1344822_6,No change,False,-2.09761270422606,-79.6501812556442,17MPT,waternew,4,63,10,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.863013698630137
998,1344822_20,No change,False,-2.09956762147036,-79.7157192918238,17MPT,waternew,3,2,14,37,0,0,0,0,0,0,0.0,,0.0,,0.0,,0.3018867924528302,0.0377358490566037
1205,1415162_7,No change,False,-16.0891254749564,-56.7935839681718,21LWC,cropnew,4,20,0,2,0,0,0,0,0,0,,,0.0,,0.0,,0.9090909090909092,0.9090909090909092
1238,1416380_20,No change,False,-16.3194521944554,-62.8916401194862,20KNG,treelosswet,2,18,2,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.9
