block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,ALL,all,20,0.2212780376836428
97785,waternew,users,ALL,all,20,0.029914058838608634
197293,waternew,users,ALL,all,17,0.1563214991248226
372152,waternew,users,ALL,all,20,0.10917780128563072
1141323,waternew,users,ALL,all,20,0.5690505077630305
1147060,waternew,users,ALL,all,19,0.22317431294409945
1150482,waternew,users,ALL,all,14,0.10525027693700255
1344822,waternew,users,ALL,all,20,0.05039412055171912
34405,treelosswet,users,ALL,all,20,0.9920823623588103
40284,treelosswet,users,ALL,all,20,0.7940787559357919
259801,treelosswet,users,ALL,all,20,0.2191404476525586
815373,treelosswet,users,ALL,all,20,0.40465321411458655
1050008,treelosswet,users,ALL,all,20,0.9482170822317224
1348871,treelosswet,users,ALL,all,19,0.8982535688963953
1354518,treelosswet,users,ALL,all,18,0.586184614376302
1398961,treelosswet,users,ALL,all,19,0.8606006229912838
1416380,treelosswet,users,ALL,all,19,0.36320971102254024
1422212,treelosswet,users,ALL,all,19,0.16392919282911414
103279,builtnewalert,users,ALL,all,20,0.2507163120900631
119116,builtnewalert,users,ALL,all,19,0.572367945106505
171471,builtnewalert,users,ALL,all,20,0.03470523521950708
349802,builtnewalert,users,ALL,all,20,0.3827388664870238
796166,builtnewalert,users,ALL,all,20,0.25098204161175514
824841,builtnewalert,users,ALL,all,20,0.04937007817635482
1240366,builtnewalert,users,ALL,all,20,0.019053318718197498
1348771,builtnewalert,users,ALL,all,20,0.8627511164237942
1369893,builtnewalert,users,ALL,all,20,0.023533865669943227
1382159,builtnewalert,users,ALL,all,20,0.5374213126319999
539283,fire,users,ALL,all,20,0.473752796045421
557332,fire,users,ALL,all,20,0.13772437601974782
913366,fire,users,ALL,all,20,0.10353304466942428
1377803,fire,users,ALL,all,20,0.09440052359764811
1412057,fire,users,ALL,all,20,0.7902682848948299
30961,treelossTF,users,ALL,all,17,0.10822300048142068
35975,treelossTF,users,ALL,all,20,0.05347935746129237
576420,treelossTF,users,ALL,all,19,0.27685012316379304
701068,treelossTF,users,ALL,all,13,0.7310170983351121
723123,treelossTF,users,ALL,all,20,0.18735862839012493
782693,treelossTF,users,ALL,all,18,0.07839125941633365
835445,treelossTF,users,ALL,all,18,0.08542847599573614
889432,treelossTF,users,ALL,all,20,0.3439728656818542
1058298,treelossTF,users,ALL,all,19,0.449619648002484
74185,cropnew,users,ALL,all,15,0.003646613206863405
