site_id,date,labels
488254_5,2024-01-01,255
488254_5,2024-01-02,0
488254_5,2024-01-06,0
488254_5,2024-01-09,0
488254_5,2024-01-11,0
488254_5,2024-01-13,0
488254_5,2024-01-14,0
488254_5,2024-01-18,0
488254_5,2024-01-21,0
488254_5,2024-01-23,0
488254_5,2024-01-25,0
488254_5,2024-01-26,0
488254_5,2024-01-30,0
488254_5,2024-02-02,1
488254_5,2024-02-04,1
488254_5,2024-02-06,1
488254_5,2024-02-07,0
488254_5,2024-02-11,1
488254_5,2024-02-14,0
488254_5,2024-02-16,0
488254_5,2024-02-18,0
488254_5,2024-02-19,0
488254_5,2024-02-23,1
488254_5,2024-02-26,0
488254_5,2024-02-28,0
488254_5,2024-03-01,0
488254_5,2024-03-02,0
488254_5,2024-03-06,0
488254_5,2024-03-09,0
488254_5,2024-03-11,0
488254_5,2024-03-13,0
488254_5,2024-03-14,0
488254_5,2024-03-18,0
488254_5,2024-03-21,0
488254_5,2024-03-23,0
488254_5,2024-03-25,0
488254_5,2024-03-26,0
488254_5,2024-03-30,0
488254_5,2024-04-02,0
488254_5,2024-04-04,0
488254_5,2024-04-06,0
488254_5,2024-04-07,0
488254_5,2024-04-11,0
488254_5,2024-04-14,0
488254_5,2024-04-16,0
488254_5,2024-04-18,0
488254_5,2024-04-19,0
488254_5,2024-04-23,0
488254_5,2024-04-26,0
488254_5,2024-04-28,0
488254_5,2024-04-30,0
488254_5,2024-05-01,0
488254_5,2024-05-05,0
488254_5,2024-05-08,0
488254_5,2024-05-10,0
488254_5,2024-05-12,0
488254_5,2024-05-13,0
488254_5,2024-05-20,1
488254_5,2024-05-22,1
488254_5,2024-05-24,1
488254_5,2024-05-25,2
488254_5,2024-05-29,2
488254_5,2024-06-01,2
488254_5,2024-06-03,2
488254_5,2024-06-05,2
488254_5,2024-06-06,3
488254_5,2024-06-10,3
488254_5,2024-06-13,3
488254_5,2024-06-15,3
488254_5,2024-06-17,3
488254_5,2024-06-18,3
488254_5,2024-06-22,3
488254_5,2024-06-25,3
488254_5,2024-06-27,3
488254_5,2024-06-29,3
488254_5,2024-06-30,3
488254_5,2024-07-04,3
488254_5,2024-07-09,3
488254_5,2024-07-11,7
488254_5,2024-07-12,7
488254_5,2024-07-16,7
488254_5,2024-07-19,7
488254_5,2024-07-21,7
488254_5,2024-07-23,7
488254_5,2024-07-24,1
488254_5,2024-07-28,0
488254_5,2024-07-31,0
488254_5,2024-08-02,0
488254_5,2024-08-04,0
488254_5,2024-08-05,0
488254_5,2024-08-09,0
488254_5,2024-08-12,0
488254_5,2024-08-14,0
488254_5,2024-08-16,0
488254_5,2024-08-17,1
488254_5,2024-08-21,2
488254_5,2024-08-24,2
488254_5,2024-08-26,2
488254_5,2024-08-28,2
488254_5,2024-08-29,2
488254_5,2024-09-02,6
488254_5,2024-09-05,6
488254_5,2024-09-07,6
488254_5,2024-09-09,6
488254_5,2024-09-10,6
488254_5,2024-09-14,6
488254_5,2024-09-17,6
488254_5,2024-09-19,6
488254_5,2024-09-21,6
488254_5,2024-09-22,6
488254_5,2024-09-26,6
488254_5,2024-09-29,6
488254_5,2024-10-01,6
488254_5,2024-10-03,6
488254_5,2024-10-04,6
488254_5,2024-10-08,6
488254_5,2024-10-11,6
488254_5,2024-10-13,6
488254_5,2024-10-15,6
488254_5,2024-10-16,6
488254_5,2024-10-20,6
488254_5,2024-10-23,6
488254_5,2024-10-25,8
488254_5,2024-10-27,8
488254_5,2024-10-28,8
488254_5,2024-11-01,8
488254_5,2024-11-04,8
488254_5,2024-11-06,8
488254_5,2024-11-08,8
488254_5,2024-11-09,8
488254_5,2024-11-13,8
488254_5,2024-11-16,8
488254_5,2024-11-18,8
488254_5,2024-11-20,8
488254_5,2024-11-21,8
488254_5,2024-11-25,8
488254_5,2024-11-28,8
488254_5,2024-11-30,8
488254_5,2024-12-02,8
488254_5,2024-12-03,8
488254_5,2024-12-07,8
488254_5,2024-12-10,8
488254_5,2024-12-12,8
488254_5,2024-12-14,8
488254_5,2024-12-15,8
488254_5,2024-12-19,8
488254_5,2024-12-22,8
488254_5,2024-12-24,8
488254_5,2024-12-26,8
488254_5,2024-12-27,8
